2022-09-08 19:00:19.067 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.info.domain.DictInfoDetail ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-09-08 19:00:19.162 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.info.domain.UserAvatar".
2022-09-08 19:00:19.162 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.info.domain.UserAvatar ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-09-08 19:00:19.267 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.logging.domain.Log".
2022-09-08 19:00:19.268 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.logging.domain.Log ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-09-08 19:00:19.378 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.mnt.domain.Database".
2022-09-08 19:00:19.378 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.mnt.domain.Database ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-09-08 19:00:19.786 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.mnt.domain.Server".
2022-09-08 19:00:19.786 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.mnt.domain.Server ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-09-08 19:00:19.845 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.mnt.domain.ServerDeploy".
2022-09-08 19:00:19.845 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.mnt.domain.ServerDeploy ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-09-08 19:00:19.911 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.monitor.domain.Visits".
